TorqStop P/N,Description,Price,Year,Brake System,Vehicle Type,Application,Bolts / Hardware Included,Rotor Type,Rotor Weight (lb),Rotor Weight (kg),Overall Diameter (in),Overall Diameter (mm),Disc Thickness (in)      ,Disc Thickness (mm),Minimum Thickness (in),Minimum Thickness (mm),Overall Depth (in),Overall Depth (in)        (mm),Pilot Diameter (in),Pilot Diameter (imm),Bolt Circle Diameter (in),Bolt Circle Diameter (mm),Bolt Hole Diameter,Bolt Hole Count,"ABS
Tone Ring",Image #1 (Rotor with Hardware),Image 2,Image # 3,Image #4 (Dimensional Drawing),Availability Status,UPC Code,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS/ Pallet,Country of Origin,HTS Code,VMRS Code,Warranty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM56641,Coated Brake Rotor,0,2022,Meritor® EX225,Transit / Coach,"MCI, Oshkosh, Pierce, Orion, NABI",No,Hat,76,35,17.1,434,1.77,44.96,1.53,39,5.19,131.83,5.31,134.87,6.61,167.89,"3/4""",12,No,,,,,Active,,81.2,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUM56642,Coated Brake Rotor,0,2022,Meritor® EX225,Transit / Coach,"MCI, Oshkosh, Pierce, Orion, NABI",No,U-Shaped,83,38,17.1,434,1.77,44.96,1.45,37,5.64,143.26,8.5,215.9,10.5,266.7,"5/8""-18",10,No,,,,,Active,,84.9,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW71601,Coated Brake Rotor,0,2022,WABCO PAN™ 19,Trailer,,No,U-Shaped,61,28,14.84,377,1.77,44.96,1.53,39,5.91,150.11,8.66,219.96,9.82,249.43,M16-2,10,Cast-In,,,,,Active,,64.1,,,,1,1,30,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW75180,Coated Brake Rotor,0,2022,WABCO PAN™ 17,Trailer,,No,U-Shaped,42,19,12.8,325,1.34,34.04,1.11,28,5.85,148.59,6.81,172.97,7.72,196.09,M14-2,8,Cast-In,,,,,Active,,44.0,,,,1,1,45,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76603,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,Prevost,No,U-Shaped,81,37,17.1,434,1.77,44.96,1.45,37,5.35,135.89,7.64,194.06,8.66,219.96,M16-1.5,10,No,,,,,Active,,85.7,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76604,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,Prevost,No,U-Shaped,99,45,17.1,434,1.77,44.96,1.45,37,7.08,179.83,7.64,194.06,9.84,249.94,"5/8""-18",10,Cast-In,,,,,Active,,85.7,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUM76606,Coated Brake Rotor,0,2022,Meritor® D-LISA,Transit / Coach,"NABI, Gillig",No,U-Shaped,80,36,17.1,434,1.77,44.96,1.46,37,5.65,143.51,7.64,194.06,9.84,249.94,"5/8""-18",10,Bolt-On,,,,,Active,,85.7,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76612,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,"NOVA, BCI",No,U-Shaped,76,35,16.93,430,1.77,44.96,1.53,39,5.16,131.06,7.99,202.95,9.25,234.95,M16-1.5,10,No,,,,,Active,,79.2,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW76613,Coated Brake Rotor,0,2022,WABCO PAN™ 22,Trailer,Ridewell,Yes,U-Shaped,71,32,16.93,430,1.77,44.96,1.53,39,5.91,150.11,8.66,219.96,9.82,249.43,M16-2,10,Cast-In,,,,,Active,,75.7,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76617,Coated Brake Rotor,0,2022,Bendix® / Knorr-Bremse ADB22X™ and ADB225™,Truck / Trailer,"Hendrickson, Kenworth, Freightliner, International, Volvo, Peterbilt, MCI, Mack",Yes,U-Shaped,76,35,16.93,430,1.77,44.96,1.46,37,5.91,150.11,8.66,219.96,9.84,249.94,"5/8""-11",10,No,,,,,Active,,82.5,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76618,Coated Brake Rotor,0,2022,Bendix® / Knorr-Bremse ADB22X™ and ADB225™,Truck / Trailer,"Freightliner, Sterling",Yes,U-Shaped,74,34,16.93,430,1.77,44.96,1.46,37,5.45,138.43,8.66,219.96,9.84,249.94,"5/8""-11",10,No,,,,,Active,,78.4,,,,1,1,28,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHB76641,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,Prevost,No,Hat,78,36,16.98,431,1.77,44.96,1.45,37,4.54,115.32,5.31,134.87,6.5,165.1,"0.59""",14,No,,,,,Active,,77.5,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHB76642,Coated Brake Rotor,0,2022,Knorr-Bremse SN7,Transit / Coach,Alexander Dennis,No,Hat,68,31,16.93,430,1.77,44.96,1.45,37,4.12,104.65,5.31,134.87,6.5,165.1,"0.58""",14,No,,,,,Active,,70.2,,,,1,1,28,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFB76692,Coated Brake Rotor,0,2022,Bendix® / Knorr-Bremse ADB22X,Truck / Trailer,"Kenworth, Peterbilt",Yes,Flat,56,25,17,432,1.77,44.96,1.46,37,1.77,44.96,9.05,229.87,N/A,N/A,N/A,N/A,No,,,,,Active,,60.3,,,,1,1,32,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFB76694,Coated Brake Rotor,0,2022,Bendix® / Knorr-Bremse ADB22X,Truck / Trailer,"Kenworth, Peterbilt",Yes,Flat,56,25,17,432,1.77,44.96,1.46,37,1.77,44.96,9.05,229.87,N/A,N/A,N/A,N/A,No,,,,,Active,,60.3,,,,1,1,32,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUH76810,Coated Brake Rotor,0,2022,"Haldex DB22, DB22LT",Truck,"Volvo, International, Mack",No,U-Shaped,76,35,16.93,430,1.77,44.96,1.63,41,5.9,149.86,8.66,219.96,9.82,249.43,"0.63""-11",10,Cast-In,,,,,Active,,82.5,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW76619,Coated Brake Rotor,0,2022,WABCO PAN™ 22,Trailer,U-SHAPED ROTOR_NO HARDW_ [WABCO PAN22]_TRAILER_Cross: HENDRICKSON S-34172_DURA 76619,,U-Shaped,71,32,16.93,430,1.77,44.96,1.5,38,5.91,150.11,8.65,219.71,9.82,249.43,M16-2,10,Cast-In,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUM76620,Coated Brake Rotor,0,2022,Meritor® EX225,Truck,,,U-Shaped,83,38,16.93,430,1.77,44.96,1.53,39,6.28,159.51,8.13,206.5,11.25,285.75,M16-1.5,10,No,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM76621,Coated Brake Rotor,0,2022,Meritor® ELSA 2 ,Transit / Coach,Vanhool Front and Tag,,Hat,73,33,17.1,434,1.77,44.96,1.53,39,5.12,130.05,5.15,130.81,6.61,167.89,"3/4""",12,No,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFM76624,Coated Brake Rotor,0,2022,Meritor® EX225L,Truck,Same rotor as RFM76624 but with rotor mounted bolt on ABS ring,,Flat,70,32,17.09,434,1.77,44.96,1.46,37,2.09,53.09,6.56,166.62,7.86,199.64,"0.66""",10,Bolt-On,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFS76626,Coated Brake Rotor,0,2022,SAF-HOLLAND / Knorr ST7,Trailer,P89 Integral and P89 Plus axles. ST-7,,Flat,71,32,16.93,430,1.77,44.96,1.53,39,2.26,57.4,7.01,178.1,8.07,205,"0.59""-15",10,Bolt-On,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFM76628,Coated Brake Rotor,0,2022,Meritor® EX225L Steer Axle,Truck,Same rotor as RFM76628 but with hub mounted press on ABS ring,,Flat,70,32,17.09,434,1.77,44.96,1.46,37,2.09,53.09,6.56,166.62,7.86,199.64,"0.66""",10,Bolt-On,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFM76690,Coated Brake Rotor,0,2022,Meritor® ELSA 225-3,Transit / Coach,"Volvo 9700, Mack",,Flat,58,26,17.09,434,1.77,44.96,1.45,37,1.77,44.96,N/A,N/A,Splined,Splined,N/A,N/A,No,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFW76801,Coated Brake Rotor,0,2022,WABCO PAN™ 22-1,Truck / Trailer,,,Flat,71,32,16.93,430,1.77,44.96,1.53,39,2.09,53.09,6.56,166.62,7.86,199.64,"5/8""-18",10,Bolt-On,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW76901,Coated Brake Rotor,0,2022,"Wabco MAXX 22, MAXX 22T",Trailer,,,U-Shaped,69,32,16.34,415,1.69,42.9,1.46,37,5.91,150.11,8.66,220,9.82,249.4,M16-2,10,Cast-In,,,,,In Development,,0.0,,,,1,1,,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
